time,bits
2021-09-06 08:31:33,1826216
2021-09-06 08:32:03,22242960
2021-09-06 08:32:33,14830888
2021-09-06 08:33:33,37361584
2021-09-06 08:34:03,9548280
2021-09-06 08:34:33,3075680
2021-09-06 08:35:03,6739016
2021-09-06 08:35:33,15948480
2021-09-06 08:36:03,18159408
2021-09-06 08:36:33,11113728
2021-09-06 08:37:03,3529160
2021-09-06 08:37:33,25522096
2021-09-06 08:38:03,21824072
2021-09-06 08:38:33,5865328
2021-09-06 08:39:04,9147992
2021-09-06 08:39:33,13118040
2021-09-06 08:40:03,2364600
2021-09-06 08:40:33,4547888
2021-09-06 08:41:03,9583512
2021-09-06 08:41:33,15852144
2021-09-06 08:42:03,19021440
2021-09-06 08:42:33,12485208
2021-09-06 08:43:03,18712952
2021-09-06 08:43:33,2257840
2021-09-06 08:44:03,990896
2021-09-06 08:44:33,927008
2021-09-06 08:45:03,23473704
2021-09-06 08:45:33,15645184
2021-09-06 08:46:03,34033760
2021-09-06 08:46:33,34590400
2021-09-06 08:47:03,19365040
2021-09-06 08:47:33,15388568
2021-09-06 08:48:03,8858728
2021-09-06 08:48:33,7268392
2021-09-06 08:49:03,2638952
2021-09-06 08:49:33,1137000
2021-09-06 08:50:03,9826896
2021-09-06 08:50:33,26651992
2021-09-06 08:51:03,6015472
2021-09-06 08:51:34,964056
2021-09-06 08:52:03,18343976
2021-09-06 08:52:33,8481832
2021-09-06 08:53:03,14049880
2021-09-06 08:53:33,8970472
2021-09-06 08:54:03,5890768
2021-09-06 08:54:33,11315472
2021-09-06 08:55:03,10358472
2021-09-06 08:55:33,5864600
2021-09-06 08:56:03,17083160
2021-09-06 08:56:33,23554160
2021-09-06 08:57:03,12375848
2021-09-06 08:57:33,9374032
2021-09-06 08:58:03,6933928
2021-09-06 08:58:33,27144344
2021-09-06 08:59:03,7134136
2021-09-06 08:59:33,35240448
2021-09-06 09:00:03,27964720
2021-09-06 09:00:34,25083360
2021-09-06 09:01:03,24418328
2021-09-06 09:01:33,601008
2021-09-06 09:02:04,2624384
2021-09-06 09:02:33,12786328
2021-09-06 09:03:03,45936656
2021-09-06 09:03:34,109874760
2021-09-06 09:04:03,76862616
2021-09-06 09:04:33,43030400
2021-09-06 09:05:03,17452592
2021-09-06 09:05:33,25029464
2021-09-06 09:06:03,22933336
2021-09-06 09:07:03,7810256
2021-09-06 09:07:33,2812544
2021-09-06 09:08:03,481040
2021-09-06 09:08:33,18292416
2021-09-06 09:09:03,28867160
2021-09-06 09:09:33,17678696
2021-09-06 09:10:04,51425712
2021-09-06 09:10:33,42040664
2021-09-06 09:11:03,17113616
2021-09-06 09:11:33,9966144
2021-09-06 09:12:03,2818864
2021-09-06 09:12:33,2768064
2021-09-06 09:13:03,2145160
2021-09-06 09:13:33,1029496
2021-09-06 09:14:03,2906408
2021-09-06 09:14:33,6027368
2021-09-06 09:15:03,2547984
2021-09-06 09:15:33,23701200
2021-09-06 09:16:03,16707136
2021-09-06 09:16:33,13787584
