predicted=13085632.794; sterr=71.561; interval=(252569.842, 313584601.598)
predicted=13084237.877; sterr=71.562; interval=(252535.505, 313557123.574)
predicted=13082905.199; sterr=71.562; interval=(252502.703, 313530869.416)
predicted=13081631.978; sterr=71.562; interval=(252471.368, 313505784.597)
predicted=13080415.556; sterr=71.562; interval=(252441.432, 313481817.019)
predicted=13079253.394; sterr=71.562; interval=(252412.834, 313458916.909)
predicted=13078143.068; sterr=71.562; interval=(252385.514, 313437036.710)
predicted=13077082.262; sterr=71.562; interval=(252359.414, 313416130.986)
predicted=13076068.765; sterr=71.562; interval=(252334.480, 313396156.327)
predicted=13075100.462; sterr=71.562; interval=(252310.660, 313377071.256)
predicted=13074175.335; sterr=71.562; interval=(252287.903, 313358836.146)
predicted=13073291.458; sterr=71.562; interval=(252266.162, 313341413.135)
predicted=13072446.988; sterr=71.562; interval=(252245.391, 313324766.048)
predicted=13071640.165; sterr=71.562; interval=(252225.548, 313308860.324)
predicted=13070869.310; sterr=71.562; interval=(252206.590, 313293662.940)
predicted=13070132.817; sterr=71.562; interval=(252188.478, 313279142.346)
predicted=13069429.153; sterr=71.562; interval=(252171.174, 313265268.396)
predicted=13068756.853; sterr=71.562; interval=(252154.643, 313252012.289)
predicted=13068114.518; sterr=71.562; interval=(252138.849, 313239346.506)
predicted=13067500.810; sterr=71.562; interval=(252123.759, 313227244.755)
predicted=13066914.453; sterr=71.562; interval=(252109.343, 313215681.915)
predicted=13066354.227; sterr=71.562; interval=(252095.569, 313204633.983)
predicted=13065818.966; sterr=71.562; interval=(252082.410, 313194078.028)
predicted=13065307.556; sterr=71.562; interval=(252069.838, 313183992.137)
predicted=13064818.935; sterr=71.562; interval=(252057.826, 313174355.377)
predicted=13064352.085; sterr=71.562; interval=(252046.350, 313165147.745)
predicted=13063906.037; sterr=71.562; interval=(252035.385, 313156350.129)
predicted=13063479.862; sterr=71.562; interval=(252024.910, 313147944.269)
predicted=13063072.675; sterr=71.562; interval=(252014.901, 313139912.719)
predicted=13062683.630; sterr=71.562; interval=(252005.338, 313132238.810)
predicted=13062311.916; sterr=71.562; interval=(251996.202, 313124906.614)
predicted=13061956.763; sterr=71.562; interval=(251987.473, 313117900.914)
predicted=13061617.431; sterr=71.562; interval=(251979.133, 313111207.170)
predicted=13061293.216; sterr=71.562; interval=(251971.165, 313104811.489)
predicted=13060983.443; sterr=71.562; interval=(251963.552, 313098700.599)
predicted=13060687.470; sterr=71.562; interval=(251956.278, 313092861.817)
