Data Hora,QtdBites
2021-09-02 21:19:33,1518304
2021-09-02 21:20:03,1417104
2021-09-02 21:20:33,1017248
2021-09-02 21:21:03,2444120
2021-09-02 21:21:33,732496
2021-09-02 21:22:03,1259768
2021-09-02 21:22:33,4005384
2021-09-02 21:23:03,1646496
2021-09-02 21:23:33,9028368
2021-09-02 21:24:03,54700824
2021-09-02 21:24:33,80104312
2021-09-02 21:25:03,63539224
2021-09-02 21:25:33,40355000
2021-09-02 21:26:04,46665968
2021-09-02 21:26:33,46354192
2021-09-02 21:27:03,181654240
2021-09-02 21:28:03,607616
2021-09-02 21:28:33,27014712
2021-09-02 21:29:03,3237592
2021-09-02 21:29:33,9922768
2021-09-02 21:30:03,19492272
2021-09-02 21:30:33,1726880
2021-09-02 21:31:03,769320
2021-09-02 21:31:33,5374448
2021-09-02 21:32:04,2128896
2021-09-02 21:32:33,2034672
2021-09-02 21:33:03,2166024
2021-09-02 21:33:33,2358960
2021-09-02 21:34:03,892024
2021-09-02 21:34:33,5309640
2021-09-02 21:35:03,28526872
2021-09-02 21:35:33,4534680
2021-09-02 21:36:03,1465240
2021-09-02 21:36:33,14521856
2021-09-02 21:37:03,9591800
2021-09-02 21:37:33,1714056
2021-09-02 21:38:03,947104
2021-09-02 21:38:33,7164056
2021-09-02 21:39:03,5510664
2021-09-02 21:39:33,1069336
2021-09-02 21:40:03,1373952
2021-09-02 21:40:33,33964248
2021-09-02 21:41:03,594032
2021-09-02 21:41:34,605896
2021-09-02 21:42:03,6290952
2021-09-02 21:42:33,1694184
2021-09-02 21:43:03,1727152
2021-09-02 21:43:33,800288
2021-09-02 21:44:03,1102448
2021-09-02 21:44:33,788080
2021-09-02 21:45:03,845504
2021-09-02 21:45:33,838944
2021-09-02 21:46:03,25811976
2021-09-02 21:46:33,712616
2021-09-02 21:47:03,2404304
2021-09-02 21:47:33,4566776
2021-09-02 21:48:03,24030600
2021-09-02 21:48:33,978120
2021-09-02 21:49:03,1169048
2021-09-02 21:49:33,745168
2021-09-02 21:50:03,529280
2021-09-02 21:50:33,795056
2021-09-02 21:51:03,4441136
2021-09-02 21:51:33,2037744
2021-09-02 21:52:03,6867112
2021-09-02 21:52:33,9756984
2021-09-02 21:53:03,1336344
2021-09-02 21:53:33,6308976
2021-09-02 21:54:03,45148528
2021-09-02 21:54:33,55211272
2021-09-02 21:55:03,40136872
2021-09-02 21:55:34,59915376
2021-09-02 21:56:03,44507360
