Data;Hora;NDeSerie;QtdBites
14-09-2021;20:18:03;1631661483;80828048
14-09-2021;20:17:33;1631661453;96362328
14-09-2021;20:17:03;1631661423;21775456
14-09-2021;20:16:33;1631661393;49349208
14-09-2021;20:16:03;1631661363;50032968
14-09-2021;20:15:33;1631661333;75188936
14-09-2021;20:15:03;1631661303;113045880
14-09-2021;20:14:33;1631661273;105085464
14-09-2021;20:14:03;1631661243;74065136
14-09-2021;20:13:33;1631661213;140962096
14-09-2021;20:13:03;1631661183;98632568
14-09-2021;20:12:33;1631661153;64825200
14-09-2021;20:12:03;1631661123;53927680
14-09-2021;20:11:33;1631661093;28155984
14-09-2021;20:10:33;1631661033;42698144
14-09-2021;20:10:03;1631661003;22422600
14-09-2021;20:09:33;1631660973;25182232
14-09-2021;20:09:03;1631660943;27488536
14-09-2021;20:08:33;1631660913;17513808
14-09-2021;20:08:03;1631660883;38644744
14-09-2021;20:07:34;1631660854;97023880
14-09-2021;20:07:03;1631660823;23806192
14-09-2021;20:06:33;1631660793;55093528
14-09-2021;20:06:04;1631660764;52744600
14-09-2021;20:05:33;1631660733;10122240
14-09-2021;20:05:03;1631660703;22119176
14-09-2021;20:04:33;1631660673;26617344
14-09-2021;20:04:03;1631660643;16038400
14-09-2021;20:03:33;1631660613;10782176
14-09-2021;20:03:03;1631660583;17091048
14-09-2021;20:02:33;1631660553;49657520
14-09-2021;20:02:03;1631660523;24949856
14-09-2021;20:01:33;1631660493;12228848
14-09-2021;20:01:03;1631660463;6151160
14-09-2021;20:00:33;1631660433;5809216
14-09-2021;20:00:03;1631660403;14211920
14-09-2021;19:59:33;1631660373;22164440
14-09-2021;19:59:03;1631660343;27622416
14-09-2021;19:58:33;1631660313;26420952
14-09-2021;19:58:03;1631660283;20402976
14-09-2021;19:57:33;1631660253;13957144
14-09-2021;19:57:03;1631660223;20943168
14-09-2021;19:56:33;1631660193;6929424
14-09-2021;19:56:03;1631660163;38415416
14-09-2021;19:55:34;1631660134;13193704
14-09-2021;19:55:03;1631660103;3892600
14-09-2021;19:54:33;1631660073;13317096
14-09-2021;19:54:03;1631660043;28629936
14-09-2021;19:53:33;1631660013;22629816
14-09-2021;19:53:03;1631659983;21067400
14-09-2021;19:52:34;1631659954;18523624
14-09-2021;19:52:03;1631659923;33260216
14-09-2021;19:51:33;1631659893;22932560
14-09-2021;19:51:03;1631659863;19884544
14-09-2021;19:50:33;1631659833;21254888
14-09-2021;19:50:03;1631659803;22273024
14-09-2021;19:49:33;1631659773;29992040
14-09-2021;19:49:03;1631659743;30281328
14-09-2021;19:48:03;1631659683;25959784
14-09-2021;19:47:33;1631659653;25016080
14-09-2021;19:47:03;1631659623;21556144
14-09-2021;19:46:33;1631659593;20814504
14-09-2021;19:46:03;1631659563;12789152
14-09-2021;19:45:33;1631659533;36665288
14-09-2021;19:45:03;1631659503;23780712
14-09-2021;19:44:33;1631659473;15907584
14-09-2021;19:44:03;1631659443;13103672
14-09-2021;19:43:33;1631659413;2697912
14-09-2021;19:43:03;1631659383;5833792
14-09-2021;19:42:33;1631659353;12391952
14-09-2021;19:42:03;1631659323;7772568
14-09-2021;19:41:33;1631659293;13938592
14-09-2021;19:41:03;1631659263;19326904
14-09-2021;19:40:33;1631659233;17073552
14-09-2021;19:40:03;1631659203;11905272
14-09-2021;19:39:33;1631659173;87131584
14-09-2021;19:39:03;1631659143;45265800
14-09-2021;19:38:33;1631659113;36300272
14-09-2021;19:38:03;1631659083;61862928
14-09-2021;19:37:33;1631659053;61053144
14-09-2021;19:37:03;1631659023;153930408
14-09-2021;19:36:33;1631658993;82111584
14-09-2021;19:36:03;1631658963;57300504
14-09-2021;19:35:33;1631658933;84392768
14-09-2021;19:35:03;1631658903;91785680
